totalevents,time
99,2020-08-11 10:00:07 
100,2020-08-11 10:03:19 
101,2020-08-11 10:03:20 
102,2020-08-11 10:14:15 
101,2020-08-11 10:15:05 
100,2020-08-11 10:16:04 
101,2020-08-11 10:23:14 
102,2020-08-11 10:25:28 
101,2020-08-11 10:26:28 
100,2020-08-11 10:30:54 
101,2020-08-11 10:36:15 
102,2020-08-11 10:39:49 
103,2020-08-11 10:47:03 
104,2020-08-11 10:47:09 
105,2020-08-11 10:47:09 
106,2020-08-11 10:47:09 
107,2020-08-11 10:47:10 
106,2020-08-11 10:47:40 
105,2020-08-11 10:47:40 
104,2020-08-11 10:48:41 
103,2020-08-11 10:48:45 
102,2020-08-11 10:48:46 
101,2020-08-11 10:50:25 
100,2020-08-11 10:51:06 
99,2020-08-11 10:51:21 
98,2020-08-11 10:51:21 
97,2020-08-11 10:53:41 
98,2020-08-11 10:56:02 
97,2020-08-11 10:56:26 
96,2020-08-11 10:56:27 
95,2020-08-11 10:56:28 
94,2020-08-11 10:59:48 
95,2020-08-11 11:01:26 
96,2020-08-11 11:01:32 
97,2020-08-11 11:02:14 
96,2020-08-11 11:03:30 
97,2020-08-11 11:04:43 
96,2020-08-11 11:04:47 
97,2020-08-11 11:06:36 
98,2020-08-11 11:06:37 
97,2020-08-11 11:09:39 
98,2020-08-11 11:10:41 
99,2020-08-11 11:10:41 
98,2020-08-11 11:10:46 
97,2020-08-11 11:10:47 
96,2020-08-11 11:11:30 
97,2020-08-11 11:12:17 
96,2020-08-11 11:12:27 
95,2020-08-11 11:13:39 
96,2020-08-11 11:14:01 
95,2020-08-11 11:16:27 
96,2020-08-11 11:20:57 
97,2020-08-11 11:31:49 
98,2020-08-11 11:31:57 
97,2020-08-11 11:32:24 
98,2020-08-11 11:33:46 
99,2020-08-11 11:34:39 
100,2020-08-11 11:34:39 
101,2020-08-11 11:34:39 
100,2020-08-11 11:37:19 
99,2020-08-11 11:37:19 
98,2020-08-11 11:38:18 
97,2020-08-11 11:38:19 
96,2020-08-11 11:38:19 
97,2020-08-11 11:38:54 
98,2020-08-11 11:39:00 
97,2020-08-11 11:39:53 
96,2020-08-11 11:39:54 
97,2020-08-11 11:41:18 
96,2020-08-11 11:42:29 
97,2020-08-11 11:42:48 
96,2020-08-11 11:44:36 
95,2020-08-11 11:45:24 
96,2020-08-11 11:46:11 
95,2020-08-11 11:49:13 
94,2020-08-11 11:50:30 
95,2020-08-11 11:52:01 
96,2020-08-11 11:52:45 
95,2020-08-11 11:54:03 
94,2020-08-11 11:54:44 
95,2020-08-11 11:54:48 
96,2020-08-11 11:55:03 
97,2020-08-11 11:55:04 
96,2020-08-11 11:57:54 
97,2020-08-11 12:01:24 
98,2020-08-11 12:01:32 
99,2020-08-11 12:01:35 
100,2020-08-11 12:01:58 
99,2020-08-11 12:02:18 
